time,close,high,low,open,volumefrom,volumeto
1520198280,0.0344,0.0344,0.0343,0.0343,41821.51,1438.22
1520198340,0.0344,0.0344,0.0343,0.0344,26271.45,903.17
1520198400,0.0344,0.0344,0.0344,0.0344,4074.9,140.18
1520198460,0.0344,0.0344,0.0344,0.0344,0,0
1520198520,0.0344,0.0344,0.0344,0.0344,16580.07,570.35
1520198580,0.0344,0.0344,0.0344,0.0344,0,0
1520198640,0.0343,0.0344,0.0342,0.0344,172789.14,5927.45
1520198700,0.0342,0.0343,0.0342,0.0343,27939.29,956.95
1520198760,0.0343,0.0343,0.0342,0.0342,30359.95,1038.58
1520198820,0.0342,0.0343,0.0342,0.0343,41761.14,1428.23
1520198880,0.0342,0.0343,0.0342,0.0342,24087.34,824.21
1520198940,0.0342,0.0343,0.0342,0.0342,30482.33,1043.96
1520199000,0.0342,0.0343,0.0342,0.0342,29167.31,999.66
1520199060,0.0343,0.0343,0.0342,0.0342,47603.29,1629.24
1520199120,0.0343,0.0343,0.0342,0.0343,51509.71,1763.42
1520199180,0.0343,0.0343,0.0342,0.0343,20562.73,704.4
1520199240,0.0343,0.0343,0.0342,0.0343,52138.18,1786.18
1520199300,0.0344,0.0344,0.0342,0.0343,130011.62,4463.56
1520199360,0.0344,0.0344,0.0344,0.0344,0,0
1520199420,0.0344,0.0344,0.0344,0.0344,0,0
1520199480,0.0344,0.0344,0.0344,0.0344,0,0
1520199540,0.0344,0.0344,0.0344,0.0344,0,0
1520199600,0.0343,0.0344,0.0343,0.0344,48157.93,1652.47
1520199660,0.0342,0.0343,0.0342,0.0343,36583.06,1253.42
1520199720,0.0343,0.0343,0.0342,0.0342,30254.59,1037.73
1520199780,0.0342,0.0344,0.0342,0.0343,33433.99,1147.18
1520199840,0.0343,0.0343,0.0342,0.0342,21184.43,726.63
1520199900,0.0343,0.0344,0.0343,0.0343,29696.68,1019.16
1520199960,0.0343,0.0344,0.0343,0.0343,44168.65,1515.81
1520200020,0.0343,0.0344,0.0343,0.0343,37946.78,1303.68
1520200080,0.0343,0.0344,0.0343,0.0343,18125.99,622.92
1520200140,0.0343,0.0344,0.0343,0.0343,17392.4,596.88
1520200200,0.0343,0.0344,0.0343,0.0343,26597.32,913.13
1520200260,0.0342,0.0343,0.0342,0.0343,28952.72,990.58
